id,story_text
001,"Walking along Pier 39, the familiar scent of saltwater wafted in on the ocean breeze. The “Magowan’s Infinite Mirror Maze"" sign, in bright colors, caught my attention. As I stood staring at the entrance, a flurry of emotions clouded my head. My unease around mirrors as a child and my fascination for the maze battled, and curiosity won. I entered the maze with my sister and started exploring.
​At this point, I should divulge that mirrors have always made me uneasy, especially in middle school. Looking into the mirror every morning before school was difficult because it reflected things about myself that I could not change. My preconceived negative opinions about my appearance always seemed to be validated by my bathroom mirror.  As the only Sri Lankan student in my high school and the only one who spoke Sinhalese as a second language, I was constantly seeking the elusive feeling of belonging in a predominantly ethnically different community.
​Next, I was met by my own reflection and suddenly found myself back in a classroom in middle school, surrounded by my peers. The room was filled with the smell of old books, and conversations flowed around me without ever including me. I felt flushed and nervous, unsure how to join in. Before I could find the courage to speak, the conversation had already moved on. Despite my quiet nature, I always wanted to share my voice and my opinions, but it often felt as though the world kept moving forward without me.
​That feeling of being left behind stayed with me, and it made me hesitant to speak up in new spaces until speech and debate forced me to confront it directly.  Walking farther along the path, I saw another reflection, this one capturing the moment that changed my life. The aroma of coffee and donuts greeted me as I stepped into my first speech and debate tournament. My teacher, Mr. Pritchard, standing at a towering six feet tall, felt less like a coach and more like a “final boss” in a video game, one guarding not failure, but my potential as a speaker.
​
As I stood on stage facing the judge, whose eyes seemed practically to burn a hole through me, I clenched my paper tightly as my leg bounced uncontrollably. When I finally began speaking, my mind went blank. I rushed through my speech in a voice so quiet it could barely be heard. Only after I finished did I realize, to my embarrassment, that I had spent the entire speech with my back turned to the judge. At that moment, I felt small and defeated. Looking back now, though, I can only laugh at the memory.
​
That first performance taught me that failure was part of the process of growth in speech and debate, as well as the value of accepting mistakes and moving on. Eventually, I signed up for more events and continued to compete in Extemporaneous Speaking and Impromptu, where I learned to think on my feet. I practiced for long hours and  learned how to argue a point convincingly on short notice and continuously challenge myself with confidence. Not surprisingly, the cheat sheet also disappeared as I moved through high school, eventually leading the middle school group and mentoring its members.
​
As I look into the next mirror, I envision a younger teammate beside me. She reminds me of my older self, quiet and nervous to speak up. I ask her, “Do you really want to do this…? Speech and debate, I mean.” She nods but remains quiet.
I tell her, “Then yell as loud as you can.” She gives me a confused look and says, “I can’t.”
“We’ll do it together. Ready? On my count.”
For the rest of the practice, she and I yell together. We laugh awkwardly between each shout, noticing the weird looks we receive. As she keeps yelling, I realize that her voice is growing stronger than mine. once struggled to use my own voice—now I help someone else find hers. 

As a mentor for the middle school speech and debate team every Friday after school, I learnt to be a patient leader and eventually would lead my mentees to win some of the competitions we attended
​
Outside of competition, I began working with adolescents with Down syndrome at Gigi’s Playhouse. Dante greeted me each time as if no time had passed. I expected to feel like I was “helping,” but instead I found myself being welcomed into his world with an ease I didn’t expect.  I am not naturally a touchy person, but his hugs made me feel unexpectedly welcome. He would talk endlessly about video games and music with the same enthusiasm each visit, and consider me family. After spending much of my life searching for belonging, I began to understand something important: community is not something you find. It is something you build by showing up consistently, even when it feels small. I found community at school and in my area by starting my own club and joining the Placer Youth Commission to advocate for the youth in my community.
​
I finally saw a light at the end of the maze. It had to be the exit. As I turned, I caught a glimpse of myself. Instead of my seeing another memory, my reflection looked back at me. Confident as a future leader in society who would advocate for those in need. For the first time in years, I felt comfortable with myself.
​
I realized the reflection never needed to change."
002,"Every morning, my school bus drives past the reservation sign.

It says our nation's name.

Then we get to school, and suddenly it's like we disappear.

In history class, we spend three weeks learning about Native Americans. My teacher says, ""They hunted buffalo.""

Past tense.

I raise my hand.

""We're still here.""

She smiles politely and keeps talking.

At lunch, another kid asks if I live in a teepee.

I've never even seen one.

My grandmother teaches me our language after dinner because the school doesn't.

She tells me every word is another thread tying us to the people who came before us.

When I answer attendance every morning, I say ""here.""

I wish the textbooks would say it too."
003,"I became an expert at answering questions that weren't mine to answer.
""Can you explain Black Lives Matter?""
""What do Hispanic families think about this?""
""Do all Asians...""
I wanted to ask if Ethan spoke for every white person.
Instead I smiled.
People said they ""didn't see color.""
Funny.
Color was the first thing they noticed when they couldn't remember my
name.
Eventually I stopped trying to fit in.
Instead, I started the multicultural club.
It began with four students.
By graduation, there wasn't a single empty chair."
004,"The village library fit inside one wooden cabinet.
It held forty-seven books.
Amira read them all before she turned twelve.
She read the dictionary next.
At night she copied science diagrams from borrowed textbooks because she
didn't own any herself.
Her classroom had broken windows.
Her chemistry lab had no chemicals.
Her teacher apologized every day for what they couldn't provide.
She never blamed him.
When the internet café opened twenty kilometers away, she biked there
every Saturday.
Not because it was easy.
Because she wanted to know what the stars were made of."
005,"Dear Hearing World,
I'm not quiet.
You're just listening in the wrong language.
Every interpreter who doesn't show up tells me my education is optional.
Every movie without captions tells me my entertainment doesn't matter.
Every person who says ""Never mind"" instead of repeating themselves tells
me my curiosity isn't worth the effort.
I don't need fixing.
I need access.
There's a difference.
Sincerely,
Someone who has always had something to say."
006,"The teacher says my name.
She pauses halfway through.
Everyone laughs.
I laugh too.
Not because it's funny.
Because sometimes laughing hurts less than correcting people.
I understand math before I understand English.
Numbers crossed the border with me.
The first friend I make doesn't ask where I'm from.
He asks if I want to play soccer.
For the first time in months,
someone wants to know where I'm going."
007,"The strawberries are always ready before I am.
We move every season.
New town.
New school.
New teacher asking why I transferred again.
I know multiplication.
I know how to tell if grapes are ripe.
I know how to finish homework by flashlight because the motel lights
flicker.
The counselor says my attendance is inconsistent.
She doesn't see the fields.
She doesn't see my parents leaving before sunrise.
She doesn't know that some classrooms have walls.
Mine has always had horizons."
008,"""Do you have to wear that?""
""No.""
""You choose to?""
""Yes.""
""Even in summer?""
""Yes.""
""Aren't you hot?""
""I am.""
""So why?""
I think about my grandmother.
My mother.
Faith.
Identity.
Strength.
Instead I smile.
""For the same reason you wear what makes you feel like yourself.""
She nods.
""Oh.""
Sometimes understanding starts with one small conversation."
009,"You learn to translate everything.
Financial aid forms.
Medical bills.
Parent-teacher conferences.
College applications.
You become the family expert on a world you're entering for the first
time yourself.
Everyone congratulates you when the acceptance letter arrives.
No one sees your mother staring at it because she can't read English.
So you read it aloud.
Twice.
The dream belongs to all of you.
When you walk onto campus, you're the first.
You already know you won't be the last."
010,"these are my people and i carry them.
/
my grandmother’s long braid is
weaved with the karma of an angel,
twisted in a bun, hiding her gray marks of wisdom.
her pale dress is adorned with half-scrubbed splotches
of the early mornings and endless days but
only the brightly sewn stitches are seen and they scream “housewife”,
as the cracks on her hands and feet whisper “superhero”.
i carry her tissues in my pockets.
/
i carry my aunty 
whose checks are inscribed with her own name and
her smile shines from nine to five 
but fades with a footstep into her home
as her husband’s family pesters her, 
for women should cook, should clean, should care
should never be elsewhere,
i carry her like an unlucky buy one get one free sale.
/
my cousin boasts her i heart la shirt
her saree a roadblock 
to a life of pants and promises of the american dream.
her big headphones cancel the noises of her heritage as
she sings along to taylor swift in her broken english,
forever chasing that accented assimilation. 
but a flock of aunties and uncles brighten the streets
their constant “kids these days” a crumbling complaint so instead: they
sing.
i carry them, their voices kindling the hearth of heritage in my heart.
/
our children hold up their candle-lit households
with one trembling hand
as the other frantically tries to transfer
words from the book to the paper, 
paper to their brain
these exams are their only chance, their final hope
for money, for success. for escape.
i carry them like a reminder of what might’ve been.
/
the dogs forage the depths of the dumps of my land
their boisterous barks only ever met with blank stares and harsh glares,
human footprints instead nestled in their protruding rib cages.
they live the familiar cycle of
forage feed fall fear
but never fantasize
for hope is a black hole
and they can’t get sucked in.
i carry them in their disorientedness,
endlessly searching without knowing what to find.
/
still the sun shines on my people,
so much that they thank gods for a cool eighty degree day.
skin and sweat are like bread and butter,
the a/c a rare garnish for the rich. 
but the sun, it illuminates the nature of 
my people, my pride
its light is a bright beacon
and i follow it.
their heartbeats synchronize with my own
thrumming together though miles apart
and i carry it
for it’s home."
